GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
44110,,No,"Governmental: Counties or Parishes--Population 25,001-50,000",,,,,No,
44111,,No,"Governmental: Counties or Parishes--Population 50,001-100,000",,,,,No,
44112,,No,"Governmental: Counties or Parishes--Population 100,001-250,000",,,,,No,
44113,,No,"Governmental: Counties or Parishes--Population over 250,000",,,,,No,
44193,,No,Grandstands or Bleachers--Other Than Not-For-Profit,,,,,No,
44194,,No,Grandstands or Bleachers--Not-For-Profit Only,,,,,No,
44222,,No,Guides or Outfitters,,,,,No,
44276,,No,Halls--Other Than Not-For-Profit,,,,,No,
44277,,No,Halls--Not-For-Profit Only,,,,,No,
44280,,No,"Event, Party or Wedding Planners",,,,,No,
44311,,No,Health or Exercise Clubs,,,,,No,
44315,,No,Health or Exercise Facilities--Commercially Operated,,,,,No,
44427,,No,Health Care Facilities--Alcohol and Drug--Other Than Not-For-Profit,,,,,No,
44428,,No,Health Care Facilities--Alcohol and Drug--Not-For-Profit Only,,,,,No,
44429,,No,Health Care Facilities--Convalescent or Nursing Homes--Not Mental--Psychopathic Institutions--Other Than Not-For-Profit,,,,,No,
44430,,No,Health Care Facilities--Convalescent or Nursing Homes--Not Mental--Psychopathic Institutions--Not-For-Profit Only,,,,,No,
44431,,No,Health Care Facilities--Homes for the Aged--Other Than Not-For-Profit,,,,,No,
44432,,No,Health Care Facilities--Homes for the Aged--Not-For-Profit Only,,,,,No,
44433,,No,Health Care Facilities--Homes for the Physically Handicapped or Orphaned--Other Than Not-For-Profit,,,,,No,
44434,,No,Health Care Facilities--Homes for the Physically Handicapped or Orphaned--Not-For-Profit Only,,,,,No,
44435,,No,Health Care Facilities--Hospitals Other Than Not-For-Profit,,,,,No,
44436,,No,Health Care Facilities--Hospitals Not-For-Profit Only,,,,,No,
44437,,No,Health Care Facilities--Mental--Psychopathic Institutions--Other Than Not-For-Profit,,,,,No,
44438,,No,Health Care Facilities--Mental--Psychopathic Institutions--Not-For-Profit Only,,,,,No,
44439,,No,"Health Care Facilities--Clinics, Dispensaries or Infirmaries Treating Outpatients Only--No Regular Bed and Board Facilities--Other Than Not-For-Profit",,,,,No,
44440,,No,"Health Care Facilities--Clinics, Dispensaries or Infirmaries Treating Outpatients Only--No Regular Bed and Board Facilities--Not-For-Profit Only",,,,,No,
44500,,No,Home Health Care Services--Not-For-Profit Only,,,,,No,
44501,,No,Home Health Care Services--Other Than Not-For-Profit,,,,,No,
45190,,No,Hotels and Motels--with Pools or Beaches--Less Than Four Stories,,,,,No,
45191,,No,Hotels and Motels--with Pools or Beaches--Four Stories or More,,,,,No,
45192,,No,Hotels and Motels--without Pools or Beaches--Less Than Four Stories,,,,,No,
45193,,No,Hotels and Motels--without Pools or Beaches--Four Stories or More,,,,,No,
45210,,No,Bed and Breakfasts,,,,,No,
45224,,No,Hunting Preserves--Other Than Not-For-Profit,,,,,No,
45225,,No,Hunting Preserves--Not-For-Profit Only,,,,,No,
45334,,No,Insurance Agents,,,,,No,
45380,,No,Junk Dealers,,,,,No,
45450,,No,"Kennels--Breeding, Boarding or Sales",,,,,No,
45523,,No,Lakes or Reservoirs--Existence Hazard Only--Other Than Not-For-Profit,,,,,No,
45524,,No,Lakes or Reservoirs--Existence Hazard Only--Not-For-Profit Only,,,,,No,
45539,,No,Land--Occupied by Persons Other Than the Insured for Business Purposes--(Lessor's Risk Only),,,,,No,
45678,,No,Laundries and Dry Cleaning Plants,,,,,No,
45771,,No,Livestock Sales Companies,,,,,No,
45819,,No,Lumberyards,,,,,No,
45900,,No,Mail Order or Online Drug Stores,,,,,No,
